user_id,item_id,action_type
32,1590,wishlist
31,1085,bid
16,220,wishlist
40,3014,wishlist
14,9499,search
44,7501,search
39,9549,search
15,4140,wishlist
48,6833,search
35,8922,wishlist
45,3892,search
5,8727,search
48,1108,search
50,5435,search
45,2088,search
20,2675,search
40,2213,bid
32,3468,wishlist
13,3754,search
21,5018,search
28,7437,bid
19,7010,bid
48,8312,wishlist
28,6120,search
30,5521,wishlist
7,6617,search
26,5555,wishlist
20,5440,bid
2,490,bid
28,5471,search
42,8257,search
17,66,wishlist
9,6832,search
24,397,search
33,3668,search
50,5595,search
34,5785,search
30,5160,search
29,2465,bid
21,4702,wishlist
3,9464,wishlist
24,5265,search
37,7217,search
1,5587,wishlist
48,3156,search
41,250,search
37,3597,bid
50,5795,wishlist
25,740,wishlist
35,327,search
15,8987,search
25,8416,wishlist
2,5714,search
12,9730,wishlist
47,2125,wishlist
13,3841,search
48,2143,search
16,3970,search
39,2360,search
27,730,wishlist
39,7341,bid
12,6676,wishlist
18,3316,wishlist
41,5729,search
23,3008,wishlist
15,1838,wishlist
43,6946,wishlist
4,9313,search
33,1121,wishlist
7,3687,search
9,7339,search
4,7737,search
43,7062,wishlist
46,5304,search
34,706,bid
33,7387,search
33,8593,search
43,2775,search
27,3906,search
13,5643,search
21,4066,search
2,5514,wishlist
39,5981,search
48,751,search
21,4799,search
18,7949,search
18,6130,search
19,3709,search
21,6105,bid
18,4973,search
23,6141,search
33,7039,wishlist
33,4687,search
41,1497,search
21,7852,search
8,5383,search
35,928,bid
48,8567,search
41,299,wishlist
4,9919,wishlist
5,7253,search
8,8328,bid
14,2350,wishlist
38,3169,wishlist
28,1376,search
38,9811,search
4,4346,bid
17,3213,search
47,4171,search
28,5899,wishlist
21,5951,search
31,7396,search
33,7943,wishlist
10,5857,search
34,5600,wishlist
32,5559,search
47,7498,bid
39,9393,search
45,7384,bid
46,3788,wishlist
4,56,search
12,4346,search
31,8704,search
5,7216,search
7,258,bid
30,7206,wishlist
3,5834,search
32,1206,search
41,5891,search
2,2551,search
31,6257,wishlist
39,98,bid
48,325,search
43,6571,search
46,9218,search
37,6305,search
45,5670,wishlist
