item_id,title,category,era,price,popularity_score
1,Antique Greek Crown,crown,Greek,562.27,87.97
2,Antique Victorian Watch,watch,Victorian,616.93,28.73
3,Antique Roman Watch,watch,Roman,3949.9,25.27
4,Antique Roman Painting,painting,Roman,1218.49,84.87
5,Antique 19th Century Sculpture,sculpture,19th Century,128.65,12.49
6,Antique Roman Coin,coin,Roman,1525.45,65.18
7,Antique Greek Sculpture,sculpture,Greek,1942.85,45.6
8,Antique Victorian Painting,painting,Victorian,1061.4,70.88
9,Antique Ming Dynasty Clothes,clothes,Ming Dynasty,279.02,76.71
10,Antique Greek Coin,coin,Greek,52.86,47.59
11,Antique 18th Century Watch,watch,18th Century,270.88,20.6
12,Antique Ming Dynasty Furniture,furniture,Ming Dynasty,205.64,72.29
13,Antique 19th Century Clothes,clothes,19th Century,245.21,99.11
14,Antique Ming Dynasty Furniture,furniture,Ming Dynasty,990.86,77.3
15,Antique 17th Century Painting,painting,17th Century,868.13,9.49
16,Antique Greek Pottery,pottery,Greek,74.77,88.67
17,Antique 17th Century Painting,painting,17th Century,575.83,32.75
18,Antique 18th Century Furniture,furniture,18th Century,15608.900000000001,45.48
19,Antique 19th Century Sculpture,sculpture,19th Century,266.51,39.15
20,Antique Greek Furniture,furniture,Greek,86.4,51.67
21,Antique Roman Furniture,furniture,Roman,283.07,1.48
22,Antique Ming Dynasty Sculpture,sculpture,Ming Dynasty,215.7,91.31
23,Antique Roman Painting,painting,Roman,814.95,87.61
24,Antique 18th Century Sculpture,sculpture,18th Century,2054.09,79.65
25,Antique 17th Century Painting,painting,17th Century,341.23,86.65
26,Antique 18th Century Clock,clock,18th Century,96.64,68.96
27,Antique Victorian Crown,crown,Victorian,1207.43,33.21
28,Antique 17th Century Clock,clock,17th Century,87.13,84.61
29,Antique Victorian Clothes,clothes,Victorian,311.55,6.06
30,Antique Ming Dynasty Clock,clock,Ming Dynasty,675.29,45.12
31,Antique Ming Dynasty Clock,clock,Ming Dynasty,65.22,32.87
32,Antique 19th Century Sculpture,sculpture,19th Century,444.44,74.26
33,Antique Victorian Pottery,pottery,Victorian,987.8,21.13
34,Antique Victorian Crown,crown,Victorian,1171.92,86.22
35,Antique Greek Sculpture,sculpture,Greek,604.15,4.39
36,Antique Greek Clock,clock,Greek,358.25,77.23
37,Antique 18th Century Clothes,clothes,18th Century,1278.57,99.89
38,Antique Victorian Watch,watch,Victorian,635.86,90.94
39,Antique Ming Dynasty Furniture,furniture,Ming Dynasty,166.78,33.16
40,Antique Victorian Watch,watch,Victorian,633.86,26.77
41,Antique 19th Century Clock,clock,19th Century,767.47,23.02
42,Antique Greek Clock,clock,Greek,138.76,42.83
43,Antique Roman Coin,coin,Roman,131.67,23.95
44,Antique 19th Century Clothes,clothes,19th Century,213.63,48.35
45,Antique 17th Century Painting,painting,17th Century,10128.9,94.52
46,Antique 17th Century Watch,watch,17th Century,723.5,99.55
47,Antique Roman Sculpture,sculpture,Roman,540.88,78.66
48,Antique 19th Century Pottery,pottery,19th Century,229.72,87.86
49,Antique 19th Century Clock,clock,19th Century,185.24,35.92
50,Antique Roman Furniture,furniture,Roman,80.35,28.85
51,Antique 18th Century Crown,crown,18th Century,76.44,92.33
52,Antique 17th Century Coin,coin,17th Century,1080.19,44.43
53,Antique 19th Century Pottery,pottery,19th Century,256.14,12.62
54,Antique Ming Dynasty Pottery,pottery,Ming Dynasty,191.73,4.26
55,Antique Greek Painting,painting,Greek,464.93,37.36
